0,BoneV,128,331,55,0,330,,
0,BoneV,128,256,63,0,360,,
0,BoneV,128,336,50,0,360,,
0,BoneV,503,256,130,2,180,,
0,BoneV,503,256,130,2,195,,
0,BoneV,503,256,130,2,210,,
0,SET,LOOPS,9,,,,,
0,SET,Speed,270,,,,,
0,:LOOPS1,,,,,,,
0,BoneV,128,346,40,0,$Speed,,
0,SUB,Speed,$Speed,30,,,,
0,SUB,LOOPS,$LOOPS,1,,,,
0,JMPNZ,LOOPS1,$LOOPS,,,,,
1,JMPABS,AE,,,,,,
0,:RA9,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,BoneV,503,256,87,2,180,,
0,BoneV,128,256,87,0,300,,
0,BoneV,503,361,25,2,180,,
0,BoneV,128,361,25,0,300,,
0,BoneV,503,256,82,2,210,,
0,BoneV,128,256,82,0,330,,
0,BoneV,503,356,30,2,210,,
0,BoneV,128,356,30,0,330,,
0,BoneV,503,256,84,2,240,,
0,BoneV,128,256,84,0,360,,
0,BoneV,503,358,28,2,240,,
0,BoneV,128,358,28,0,360,,
0.9,BoneV,503,256,58,2,300,,
0,BoneV,503,331,55,2,300,,
0,BoneV,503,256,58,2,330,,
0,BoneV,503,331,55,2,330,,
0,BoneV,503,256,63,2,360,,
0,BoneV,503,336,50,2,360,,
0,BoneV,128,256,130,0,180,,
0,BoneV,128,256,130,0,195,,
0,BoneV,128,256,130,0,210,,
0,SET,LOOPS,9,,,,,
0,SET,Speed,270,,,,,
0,:LOOPS2,,,,,,,
0,BoneV,503,346,40,2,$Speed,,
0,SUB,Speed,$Speed,30,,,,
0,SUB,LOOPS,$LOOPS,1,,,,
0,JMPNZ,LOOPS2,$LOOPS,,,,,
1,JMPABS,AE,,,,,,
0,:RA10,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,BoneVRepeat,128,341,45,0,300,5,15
0,BoneVRepeat,503,341,45,2,300,5,15
0.2,BoneV,113,346,40,0,300,,
0,BoneV,518,346,40,2,300,,
0,BoneV,98,351,35,0,300,,
0,BoneV,533,351,35,2,300,,
0,BoneV,83,356,30,0,300,,
0,BoneV,548,356,30,2,300,,
0.25,BoneVRepeat,128,256,90,0,300,9,15
0,BoneVRepeat,503,256,90,2,300,9,15
0.9825,BoneV,128,321,65,0,400,,
0,BoneV,503,321,65,2,400,,
0,SET,LOOP9,12,,,,,
0,:LOOP9,,,,,,,
0,BoneV,113,256,130,0,400,,
0,BoneV,518,256,130,2,400,,
0,SUB,LOOP9,$LOOP9,1,,,,
0.0375,JMPNZ,LOOP9,$LOOP9,,,,,
0.0175,JMPABS,AE,,,,,,
0,:RA12,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,RND,BH1,40,,,,,
0,ADD,BH2,$BH1,40,,,,
0,ADD,Y1,$BH2,281,,,,
0,SUB,BH3,386,$Y1,,,,
0,RND,RW,2,,,,,
0,JMPE,WHAT1,$RW,1,,,,
0,BoneVRepeat,128,256,$BH2,0,300,8,15
0,BoneVRepeat,128,$Y1,$BH3,0,300,8,15
0,JMPABS,WE1,,,,,,
0,:WHAT1,,,,,,,
0,BoneVRepeat,503,256,$BH2,2,300,8,15
0,BoneVRepeat,503,$Y1,$BH3,2,300,8,15
0,:WE1,,,,,,,
0.9,RND,BH1,60,,,,,
0,ADD,BH2,$BH1,20,,,,
0,ADD,Y1,$BH2,281,,,,
0,SUB,BH3,386,$Y1,,,,
0,JMPE,WHAT2,$RW,1,,,,
0,SansSlam,2,,,,,,
0,BoneStab,2,55,0.6,9,,,
0,BoneVRepeat,503,256,$BH2,2,450,8,15
0,BoneVRepeat,503,$Y1,$BH3,2,450,8,15
0,JMPABS,WE2,,,,,,
0,:WHAT2,,,,,,,
0,SansSlam,0,,,,,,
0,BoneStab,0,55,0.6,9,,,
0,BoneVRepeat,128,256,$BH2,0,450,8,15
0,BoneVRepeat,128,$Y1,$BH3,0,450,8,15
1,:WE2,,,,,,,
0,:AE,,,,,,,
0,SUB,LOOP,$LOOP,1,,,,
0,JMPNZ,LOOP0,$LOOP,,,,,
0,BlackScreen,1,,,,,,
0,Sound,flash,,,,,,
0.2,BlackScreen,0,,,,,,
0,Sound,flash,,,,,,
0,CombatZoneResizeInstant,33,251,607,391,,,
0,EndAttack,,,,,,,
